item_type,brand,name,price,quantity,rpm,noise_level,color,size
cooler,Thermalright, Peerless Assassin 120 SE,146.89,11,1550,25.6,Black,
cooler,NZXT, Kraken Elite 360 RGB,1187.2,50,"500,1800","17.9,30.6",White,360.0
cooler,Deepcool, GAMMAXX AG400 ARGB,129.95,22,"500,2000",31.6,Black,
cooler,Corsair, iCUE H150i ELITE CAPELLIX XT,823.23,39,"550,2100","5,34.1",Black,360.0
cooler,Cooler Master, MASTERLIQUID ML240L RGB V2,433.26,21,"650,1800","6,27",Black,240.0
cooler,Noctua, NH-D15 chromax.black,519.74,4,"300,1500","19.2,24.6",Black,
cooler,NZXT, Kraken 240,524.25,39,"500,1800","17.9,30.6",Black,240.0
cooler,Thermalright, Phantom Spirit 120 SE,155.55,56,1500,25.6,Black / Silver,
cooler,Deepcool, AK620 ZERO DARK,268.56,18,"500,1850",28,Black,
cooler,ARCTIC, Liquid Freezer III,506.92,38,"200,1800",,Black,360.0
cooler,Cooler Master, Hyper 212 Black Edition,129.95,29,"650,2000","6.5,26",Black,
cooler,NZXT, Kraken Elite 360 RGB,1195.86,13,"500,1800","17.9,30.6",Black,360.0
cooler,Deepcool, LS720 SE WH,424.59,12,"500,2250","28.2,32.9",White,360.0
cooler,Thermalright, Assassin X 120 Refined SE,77.52,38,1550,25.6,Black / Silver,
cooler,Deepcool, LS720 SE,399.42,57,"500,2250","28.2,32.9",Black,360.0
cooler,Thermalright, Peerless Assassin 120 SE WHITE ARGB,160.28,29,1550,25.6,White,
cooler,Noctua, NH-D15,476.41,38,"300,1500","19.2,24.6",,
cooler,Corsair, iCUE H100x RGB ELITE,433.26,6,1500,"7,28",Black,240.0
cooler,Thermalright, Phantom Spirit 120 SE ARGB,159.89,33,1500,25.6,Black / Silver,
cooler,Corsair, iCUE H100i RGB ELITE,519.92,47,"400,1850","5,28.9",Black,240.0
cooler,Deepcool, AK400,145.11,6,"500,1850",29,Black / Silver,
cooler,ID-COOLING, SE-214-XT,77.91,12,"500,1500","13.8,30.5",Black,
cooler,ARCTIC, Liquid Freezer III,433.26,15,"200,1800",,Black,240.0
cooler,Corsair, iCUE H150i ELITE LCD XT,1083.21,3,"550,2100","5,34.1",Black,360.0
cooler,Noctua, NH-U12S chromax.black,389.75,12,"300,1500","18.6,22.4",Black,
cooler,NZXT, Kraken 240 RGB,749.57,37,"500,1800","17.9,30.6",White,240.0
cooler,be quiet!, Pure Rock 2 Black,164.22,43,1500,"19.1,26.8",Black,
cooler,Deepcool, LT720,460.34,38,"500,2250",32.9,Black / Gray,360.0
cooler,NZXT, Kraken Elite 360,1156.87,10,"500,1800","17.9,30.6",Black,360.0
cooler,AMD, Wraith Prism,242.65,10,2800,42,,
cooler,ARCTIC, Liquid Freezer III A-RGB,606.58,8,"200,2000",,Black,360.0
cooler,Corsair, H105,3765.51,56,"800,2700",37.7,,240.0
cooler,Thermalright, Frozen Notte ARGB,233.55,17,2000,27.7,Black,240.0
cooler,Thermalright, Frozen Notte ARGB,289.88,12,2000,27.7,White,360.0
cooler,NZXT, Kraken 360 RGB,1111.59,37,"500,1800","17.9,30.6",White,360.0
cooler,Deepcool, AK620 DIGITAL,320.56,9,"500,1850",28,Black,
cooler,be quiet!, Dark Rock Pro 5,346.21,30,"1300,2000","8.9,23.3",Black,
cooler,Lian Li, Galahad II Trinity SL-INF,736.39,14,2100,29,Black,360.0
cooler,Cooler Master, MasterLiquid 360L Core ARGB,371.21,46,"350,1750",27.2,Black,360.0
cooler,Noctua, NH-U12A chromax.black,563.03,51,"450,2000","18.8,22.6",Black,
cooler,Lian Li, Galahad II Trinity SL-INF,714.9,34,2100,29,White,360.0
cooler,Thermalright, Frozen Notte ARGB,281.21,53,2000,27.7,Black,360.0
cooler,Thermalright, Assassin X Refined SE ARGB,81.85,53,1550,25.6,Black / Silver,
cooler,Thermalright, Peerless Assassin 120 SE ARGB,146.89,57,1550,25.6,Black,
cooler,Intel, E97379-001,38.95,56,"1200,2800",22,Silver / Black,
