item_type,brand,name,price,quantity,core_count,core_clock,boost_clock,tdp,graphics,smt
cpu,AMD, Ryzen 7 7800X3D,1468.89,22,8,4.2,5.0,120,Radeon,true
cpu,AMD, Ryzen 5 7600X,888.22,13,6,4.7,5.3,105,Radeon,true
cpu,AMD, Ryzen 5 5600X,625.3,42,6,3.7,4.6,65,,true
cpu,AMD, Ryzen 5 7600,801.6,41,6,3.8,5.1,65,Radeon,true
cpu,Intel, Core i9-14900K,2361.44,8,24,3.2,6.0,125,Intel UHD Graphics 770,true
cpu,Intel, Core i7-14700K,1733.16,43,20,3.4,5.6,125,Intel UHD Graphics 770,true
cpu,Intel, Core i5-12400F,554.62,9,6,2.5,4.4,65,,true
cpu,AMD, Ryzen 5 3600,363.97,57,6,3.6,4.2,65,,true
cpu,AMD, Ryzen 7 7700X,1251.41,35,8,4.5,5.4,105,Radeon,true
cpu,AMD, Ryzen 9 7950X3D,2443.81,11,16,4.2,5.7,120,Radeon,true
cpu,AMD, Ryzen 5 5600,563.25,40,6,3.5,4.4,65,,true
cpu,AMD, Ryzen 7 5800X,875.27,37,8,3.8,4.7,105,,true
cpu,Intel, Core i5-12600KF,689.51,49,10,3.7,4.9,125,,true
cpu,AMD, Ryzen 5 5500,396.6,38,6,3.6,4.2,65,,true
cpu,Intel, Core i7-12700K,1074.58,14,12,3.6,5.0,125,Intel UHD Graphics 770,true
cpu,AMD, Ryzen 7 5700X,744.8,26,8,3.4,4.6,65,,true
cpu,Intel, Core i7-13700K,1555.55,56,16,3.4,5.4,125,Intel UHD Graphics 770,true
cpu,Intel, Core i5-12600K,761.48,27,10,3.7,4.9,125,Intel UHD Graphics 770,true
cpu,AMD, Ryzen 7 5800X3D,1131.69,51,8,3.4,4.5,105,,true
cpu,AMD, Ryzen 9 7900X,1718.38,33,12,4.7,5.6,170,Radeon,true
cpu,AMD, Ryzen 5 5600G,582.7,24,6,3.9,4.4,65,Radeon Vega 7,true
cpu,AMD, Ryzen 9 5900X,1204.53,43,12,3.7,4.8,105,,true
cpu,Intel, Core i5-13600K,1230.53,42,14,3.5,5.1,125,Intel UHD Graphics 770,true
cpu,Intel, Core i9-14900KS,2829.23,16,24,3.2,6.2,150,Intel UHD Graphics 770,true
cpu,Intel, Core i7-12700KF,970.38,55,12,3.6,5.0,125,,true
cpu,Intel, Core i3-12100F,411.55,51,4,3.3,4.3,58,,true
cpu,Intel, Core i5-13600KF,1083.21,3,14,3.5,5.1,125,,true
cpu,AMD, Ryzen 7 7700,1220.3,46,8,3.6,5.3,65,Radeon,true
cpu,AMD, Threadripper 3990X,18436.92,58,64,2.9,4.3,280,,true
cpu,Intel, Core i9-13900K,2108.39,4,24,3.0,5.8,125,Intel UHD Graphics 770,true
cpu,Intel, Core i7-14700KF,1628.08,32,20,3.4,5.6,125,,true
cpu,Intel, Core i5-13400F,805.89,41,10,2.5,4.6,65,,true
cpu,AMD, Ryzen 9 7900X3D,1750.49,20,12,4.4,5.6,120,Radeon,true
cpu,Intel, Core i9-12900K,1447.22,1,16,3.2,5.2,125,Intel UHD Graphics 770,true
