item_type,brand,name,price,quantity,size,color,rpm,airflow,noise_level,pwm
fan,Lian Li, Uni Fan SL-Infinity 3-Pack,363.97,6,120,Black,,"0,61.3","0,29",true
fan,Corsair, iCUE SP120 RGB ELITE 3-Pack,259.94,42,120,Black / White,"400,1500",,,true
fan,Lian Li, Uni Fan SL-Infinity 3-Pack,363.54,10,120,White,,"0,61.3","0,29",true
fan,Noctua, NF-A12x25 PWM chromax.black.swap,151.44,59,120,Black,"450,2000",60.09,22.6,true
fan,Lian Li, Uni Fan SL-Infinity,129.95,14,120,Black,,"0,61.3","0,29",true
fan,Lian Li, UNI FAN SL V2 3-Pack,359.6,3,120,White / Silver,"250,2000",64.5,29.2,true
fan,ARCTIC, P12 PST 5-Pack,151.61,15,120,Black,"200,1800",56.3,22.5,true
fan,Lian Li, UNI FAN SL-INF Reverse Blade,154.77,45,120,White / Black,"200,2100",63.6,32,true
fan,Lian Li, Uni Fan SL-Infinity,116.95,45,120,White,,"0,61.3","0,29",true
fan,Corsair, iCUE LINK QX120 RGB Starter Kit 3-Pack,541.58,54,120,Black,"480,2400","16.44,63.1",,true
fan,Lian Li, UNI FAN SL-INF Reverse Blade,129.95,45,120,White,"200,2100",63.6,32,true
fan,Lian Li, UNI FAN SL V2 3-Pack,337.93,54,120,Black / Silver,"250,2000",64.5,29.2,true
fan,Thermalright, TL-C12C X3 3-Pack,51.56,25,120,Black,1550,66.17,25.6,true
fan,NZXT, F120 RGB 3-Pack,335.07,17,120,White,"500,1800","13.94,50.18","17.2,27.5",true
fan,Noctua, A14 PWM chromax.black.swap,116.77,54,140,Multicolor,"300,1500",82.52,24.6,true
fan,ARCTIC, P12,38.95,58,120,Black,"200,1800",56.3,,true
fan,Thermalright, TL-C12C-S X3 3-Pack,58.89,49,120,Black,1550,66.17,25.6,true
fan,Noctua, A12x25 PWM,142.77,19,120,Brown,"450,2000","49.73,60.1","18.8,22.6",true
fan,Corsair, iCUE LINK QX120 RGB Starter Kit 3-Pack,693.24,3,120,White,"480,2400","16.44,63.1",,true
fan,Deepcool, FC120-3 IN 1 3-Pack,151.61,34,120,Black,"500,1800",61.91,28,true
fan,Corsair, ML120 PRO 3-Pack,719.71,33,120,Black / White,"400,1600",47.3,25,true
fan,NZXT, F120 RGB 3-Pack,335.07,32,120,Black,"500,1800","13.94,50.18","17.2,27.5",true
fan,be quiet!, Silent Wings Pro 4,120.89,6,120,Black,3000,83.9,36.9,true
fan,ARCTIC, P12 Max,43.29,44,120,Black,"200,3300",81.04,,true
fan,Lian Li, Uni Fan SL-Infinity,129.95,7,140,Black,"200,1600",72.7,28,true
fan,Thermalright, TL-C12CW-S X3 3-Pack,57.15,53,120,White,1550,66.17,25.6,true
fan,Noctua, P12 redux-1700 PWM,69.11,50,120,Gray,"450,1700",70.75,25.1,true
fan,Noctua, A14 PWM,103.78,47,140,Brown,"300,1500","68,82.5","19.2,24.6",true
fan,Lian Li, Uni Fan SL-Infinity,129.95,45,140,White,"200,1600",72.7,28,true
fan,ARCTIC, P12 Max 5-Pack,155.94,12,120,Black,"200,3300",81.04,,true
fan,Corsair, iCUE AR120 Digital RGB 3-Pack,194.94,7,120,Black,"400,1850","10.7,59","10,27.3",true
fan,Corsair, iCUE SP120 RGB ELITE,86.57,34,120,Black / White,"400,1500",,,true
fan,be quiet!, Pure Wings 2,42.9,14,120,Black,"500,1500","51.4,87",20.2,true
fan,Corsair, iCUE AF120 RGB ELITE 3-Pack,330.61,40,120,Black,"550,2100","13.8,65.57","5,34.1",true
fan,Thermalright, TL-C12B-S V3 X3 3-Pack,73.18,59,120,Black,1500,66.17,25.6,true
fan,Deepcool, FK120 3-Pack,129.95,9,120,,"500,1850",68.99,28,true
fan,ARCTIC, P14 PST,56.29,45,140,Black,"200,1700",72.8,22.5,true
fan,be quiet!, Silent Wings Pro 4,120.89,16,140,Black,2400,97.41,36.8,true
fan,Lian Li, UNI FAN SL V2,116.95,14,120,Black / Silver,"250,2000",64.5,29.2,true
fan,Lian Li, UNI FAN SL-INF Reverse Blade,129.34,47,140,Black / White,"200,1600",71.6,28.6,true
fan,Lian Li, UNI FAN SL V2,116.95,27,120,White / Silver,"250,2000",64.5,29.2,true
