item_type,speed,name,price,capacity,cache,form_factor,interface
hdd,7200.0,Seagate Barracuda Compute,281.56,2000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate IronWolf Pro,2079.8,24000.0,512.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate BarraCuda,346.6,4000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Caviar Blue,169.77,1000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate BarraCuda,194.98,1000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Gold,2599.76,24000.0,512.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate Barracuda Compute,563.25,8000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Blue,281.56,2000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate BarraCuda,121.32,1000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital WD_BLACK,606.58,4000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate IronWolf Pro,441.58,4000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Exos X14,862.22,12000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Toshiba MK3276GSX,56.29,320.0,8.0,2.5,SATA 3.0 Gb/s
hdd,5400.0,Western Digital Blue,316.27,4000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate BarraCuda,278.79,2000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Exos X18,1429.85,18000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate ST6000NM0024,355.31,6000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate Barracuda Compute,528.58,8000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate Surveillance HDD,311.98,1000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Seagate IronWolf NAS,411.16,4000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital Ultrastar DC HC550,1035.54,16000.0,512.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate FireCuda,1205.74,8000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate IronWolf Pro NAS,1906.48,22000.0,512.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital AV-GP,108.24,1000.0,64.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Constellation ES.3,110.49,1000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,5400.0,Western Digital Red,389.93,4000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate IronWolf NAS,762.56,8000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Western Digital WD_BLACK,1083.21,10000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,5640.0,Western Digital Blue,541.41,8000.0,128.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate Exos X20,1646.5,20000.0,256.0,3.5,SATA 6.0 Gb/s
hdd,7200.0,Seagate IronWolf NAS,779.9,8000.0,256.0,3.5,SATA 6.0 Gb/s
