item_type,brand,name,price,quantity,socket,form_factor,max_memory,memory_slots,color
mobo,MSI, B650 GAMING PLUS WIFI,736.57,31,AM5,ATX,192,4,Black
mobo,Asus, ROG STRIX B650-A GAMING WIFI,866.56,52,AM5,ATX,192,4,Black / Silver
mobo,MSI, B760 GAMING PLUS WIFI,693.24,38,LGA1700,ATX,192,4,Black / Silver
mobo,MSI, PRO Z790-A MAX WIFI,1039.88,25,LGA1700,ATX,192,4,Silver / Black
mobo,MSI, B550 GAMING GEN3,433.26,36,AM4,ATX,128,4,Black
mobo,MSI, B450M-A PRO MAX II,303.22,48,AM4,Micro ATX,64,2,Black
mobo,MSI, MAG B650 TOMAHAWK WIFI,866.56,14,AM5,ATX,192,4,Black
mobo,Gigabyte, B650 GAMING X AX,779.9,54,AM5,ATX,192,4,Black / Gray
mobo,Asus, PRIME B550M-A WIFI II,454.92,38,AM4,Micro ATX,128,4,Blue / Silver
mobo,ASRock, B650M Pro RS WiFi,649.91,38,AM5,Micro ATX,192,4,Black / Silver
mobo,ASRock, B660M Pro RS,411.59,23,LGA1700,Micro ATX,128,4,Gray / Black
mobo,MSI, PRO B650M-P,519.92,57,AM5,Micro ATX,192,4,Black / Silver
mobo,Asus, TUF GAMING Z790-PRO WIFI,1213.2,42,LGA1700,ATX,192,4,Black
mobo,MSI, MAG X670E TOMAHAWK WIFI,1126.54,5,AM5,ATX,192,4,Black
mobo,MSI, PRO Z790-P WIFI,866.56,11,LGA1700,ATX,192,4,Black / Silver
mobo,MSI, MAG B550 TOMAHAWK MAX WIFI,693.24,29,AM4,ATX,128,4,Silver / Black
mobo,Asus, ROG STRIX B550-F GAMING WIFI II,823.23,55,AM4,ATX,128,4,Black / Red
mobo,MSI, PRO B650M-A WIFI,680.24,53,AM5,Micro ATX,192,4,Black
mobo,ASRock, B650I Lightning Wifi,866.56,38,AM5,Mini ITX,96,2,Black
mobo,MSI, B550M PRO-VDH WIFI,433.26,15,AM4,Micro ATX,128,4,Black
mobo,MSI, PRO B650-S WIFI,606.58,3,AM5,ATX,192,4,Black
mobo,Gigabyte, B650 EAGLE AX,736.57,39,AM5,ATX,192,4,Gray / Black
mobo,Asus, ROG STRIX B650E-F GAMING WIFI,1126.54,53,AM5,ATX,192,4,Black
mobo,Gigabyte, B650 AORUS ELITE AX ICE,996.55,3,AM5,ATX,192,4,Silver
mobo,Asus, ROG MAXIMUS Z790 DARK HERO,2513.1,21,LGA1700,ATX,192,4,Black
mobo,Asus, Prime B450M-A II,303.22,25,AM4,Micro ATX,128,4,
mobo,Gigabyte, B650 AORUS ELITE AX,866.56,39,AM5,ATX,192,4,Black / Silver
mobo,Asus, PRIME B760-PLUS,563.25,35,LGA1700,ATX,192,4,Black / Silver
mobo,Gigabyte, B550M K,411.59,24,AM4,Micro ATX,128,4,Brown / Silver
mobo,MSI, MAG Z790 TOMAHAWK WIFI,909.89,41,LGA1700,ATX,192,4,Black
mobo,Gigabyte, TRX40 AORUS XTREME,7972.81,12,sTRX4,XL ATX,256,8,Black / Silver
mobo,Gigabyte, X670E AORUS PRO X,1299.86,55,AM5,ATX,192,4,White / Silver
mobo,Asus, ROG STRIX Z790-A GAMING WIFI II,1455.84,36,LGA1700,ATX,192,4,Black / Silver
mobo,Gigabyte, Z790 AORUS ELITE AX,953.22,47,LGA1700,ATX,192,4,Black
mobo,ASRock, B450M-HDV R4.0,259.94,1,AM4,Micro ATX,32,2,Black / White
mobo,MSI, PRO B550M-VC WIFI,505.01,1,AM4,Micro ATX,128,4,Black
mobo,MSI, PRO B760-P WIFI DDR4,606.58,14,LGA1700,ATX,128,4,Black
mobo,Asus, TUF GAMING B650-PLUS WIFI,866.56,26,AM5,ATX,128,4,Black
mobo,Gigabyte, B550 UD AC,433.26,12,AM4,ATX,128,4,Brown / Black
mobo,Asus, ROG STRIX B650E-I GAMING WIFI,1299.86,57,AM5,Mini ITX,96,2,Black
mobo,Asus, ROG STRIX Z790-E GAMING WIFI II,1854.48,13,LGA1700,ATX,192,4,Black
mobo,MSI, B550-A PRO,476.59,50,AM4,ATX,128,4,Black / Silver
mobo,MSI, PRO A620M-E,324.76,40,AM5,Micro ATX,96,2,Black
mobo,MSI, PRO H610M-G DDR4,346.6,2,LGA1700,Micro ATX,64,2,Black / Silver
mobo,ASRock, B650M Pro RS,584.91,32,AM5,Micro ATX,192,4,Black / Silver
mobo,MSI, PRO Z690-A WIFI,649.91,55,LGA1700,ATX,192,4,Black / Silver
mobo,Asus, ROG STRIX B760-I GAMING WIFI,866.56,51,LGA1700,Mini ITX,96,2,Black
mobo,ASRock, B550M Pro4,433.26,4,AM4,Micro ATX,128,4,Silver / Black
mobo,Gigabyte, A520I AC,476.59,59,AM4,Mini ITX,64,2,Black
mobo,ASRock, B450M/ac R2.0,336.5,20,AM4,Micro ATX,128,4,Black / Silver
mobo,MSI, B450M PRO-VDH MAX,324.93,9,AM4,Micro ATX,64,4,Black / Silver
mobo,ASRock, B760M-HDV/M.2,519.92,51,LGA1700,Micro ATX,96,2,White / Black
mobo,Gigabyte, B760M DS3H DDR4,433.26,50,LGA1700,Micro ATX,128,4,Black
mobo,Asus, TUF GAMING B550-PLUS WIFI II,580.62,51,AM4,ATX,128,4,Black / Gray
mobo,Gigabyte, B650M D3HP,519.92,22,AM5,Micro ATX,192,4,Black
mobo,MSI, PRO B650-P WIFI,706.24,11,AM5,ATX,192,4,Black
mobo,Asus, ROG STRIX B550-A GAMING,745.23,17,AM4,ATX,128,4,Black / White
mobo,Asus, TUF GAMING A520M-PLUS WIFI,424.59,16,AM4,Micro ATX,128,4,Black / Orange
mobo,Gigabyte, B650 GAMING X AX V2,801.56,40,AM5,ATX,192,4,Gray / Black
mobo,Asus, ROG STRIX X670E-E GAMING WIFI,1949.81,0,AM5,ATX,192,4,Black / Silver
mobo,Asus, ROG MAXIMUS Z790 FORMULA,3249.71,10,LGA1700,ATX,192,4,Silver / Black
mobo,NZXT, N7 B650E,1213.2,40,AM5,ATX,128,4,White
mobo,ASRock, Z690M-ITX/ax,584.91,43,LGA1700,Mini ITX,64,2,Silver / Black
mobo,Gigabyte, B550M AORUS ELITE AX,433.26,42,AM4,Micro ATX,128,4,Black / Silver
mobo,MSI, MPG B550 GAMING PLUS,567.62,52,AM4,ATX,128,4,Black
mobo,Gigabyte, B550 AORUS ELITE AX V2,606.58,19,AM4,ATX,128,4,Black / Silver
mobo,ASRock, A620I LIGHTNING WIFI,606.58,43,AM5,Mini ITX,96,2,Black
mobo,Gigabyte, B650M AORUS ELITE AX,823.23,34,AM5,Micro ATX,192,4,Black
mobo,Gigabyte, B450M DS3H WIFI,385.55,38,AM4,Micro ATX,128,4,Brown / Black
mobo,Asus, TUF GAMING X570-PLUS (WI-FI),840.56,41,AM4,ATX,128,4,Black / Gold
mobo,ASRock, B760M-H/M.2,389.93,52,LGA1700,Micro ATX,96,2,Silver / Black
mobo,Asus, TUF GAMING X670E-PLUS WIFI,1169.87,38,AM5,ATX,192,4,Black / Orange
mobo,ASRock, B650M-HDV/M.2,653.03,23,AM5,Micro ATX,96,2,Silver / Black
mobo,MSI, MPG B650I EDGE WIFI,1132.34,50,AM5,Mini ITX,96,2,Black / Silver
mobo,Gigabyte, B650I AORUS ULTRA,1126.54,9,AM5,Mini ITX,96,2,Black / Silver
mobo,Gigabyte, B550 GAMING X V2,402.93,36,AM4,ATX,128,4,Black
mobo,MSI, X670E GAMING PLUS WIFI,996.55,50,AM5,ATX,192,4,Silver / Black
mobo,ASRock, B650M-H/M.2+,433.26,20,AM5,Micro ATX,96,2,Silver / Black
mobo,Asus, ROG STRIX Z690-I GAMING WIFI,823.23,13,LGA1700,Mini ITX,96,2,Black / Silver
mobo,Gigabyte, B450M K,346.64,49,AM4,Micro ATX,64,2,Brown / Silver
mobo,Gigabyte, Z790 AORUS PRO X,1516.51,24,LGA1700,ATX,192,4,Silver
mobo,MSI, MAG B550 TOMAHAWK,606.58,39,AM4,ATX,128,4,Black / Silver
mobo,MSI, MEG Z790 GODLIKE MAX,5186.56,36,LGA1700,EATX,192,4,Black
mobo,Gigabyte, B650 AORUS ELITE AX V2,813.69,50,AM5,ATX,192,4,Black / Silver
mobo,ASRock, A520M-HDV,290.22,44,AM4,Micro ATX,64,2,Black / Silver
mobo,MSI, B450 Gaming Plus MAX,324.89,40,AM4,ATX,128,4,Red / Black
mobo,ASRock, B550M-ITX/ac,563.25,34,AM4,Mini ITX,64,2,Silver / Black
mobo,ASRock, B650 Steel Legend WiFi,779.9,13,AM5,ATX,192,4,White / Silver
mobo,Gigabyte, A620I AX,606.58,42,AM5,Mini ITX,96,2,Black / Gray
mobo,Asus, ROG STRIX Z690-E GAMING WIFI,1000.88,39,LGA1700,ATX,192,4,Black
mobo,Asus, PRIME X670-P WIFI,909.89,1,AM5,ATX,192,4,Silver / Black
mobo,MSI, PRO B760M-P DDR4,433.26,28,LGA1700,Micro ATX,128,4,Black
mobo,Asus, ROG CROSSHAIR X670E HERO,2773.08,37,AM5,ATX,192,4,Black / Silver
mobo,Asus, ROG STRIX Z790-E GAMING WIFI,1559.84,27,LGA1700,ATX,192,4,Black
mobo,MSI, MAG B760 TOMAHAWK WIFI,779.9,13,LGA1700,ATX,192,4,Black
mobo,Gigabyte, H410M H V2,315.92,13,LGA1200,Micro ATX,64,2,Gray / Black
mobo,Asus, TUF GAMING Z790-PLUS WIFI,996.55,21,LGA1700,ATX,192,4,Black / Gray
mobo,ASRock, X670E Steel Legend,1126.54,31,AM5,ATX,192,4,Black / White
mobo,Gigabyte, B550I AORUS PRO AX,823.23,51,AM4,Mini ITX,64,2,Black / Silver
mobo,Gigabyte, B650M D3HP AX,584.91,58,AM5,Micro ATX,192,4,Black / Gray
mobo,Gigabyte, B760M DS3H AX,606.58,14,LGA1700,Micro ATX,192,4,Black
mobo,Gigabyte, B550M DS3H AC,472.25,20,AM4,Micro ATX,128,4,Black
mobo,Gigabyte, Z790 AORUS ELITE X WIFI7,1213.2,12,LGA1700,ATX,192,4,Black
mobo,Asus, PRIME Z790-P WIFI,823.23,45,LGA1700,ATX,192,4,Black / Silver
mobo,NZXT, N7 B650E,1083.21,57,AM5,ATX,128,4,Black
mobo,Asus, ProArt X670E-CREATOR WIFI,1841.48,54,AM5,ATX,192,4,Black / Copper
mobo,Gigabyte, X670 AORUS ELITE AX (rev. 1.0),1169.87,11,AM5,ATX,192,4,Black
mobo,ASRock, A620M Pro RS WiFi,770.62,24,AM5,Micro ATX,192,4,Silver / Black
mobo,ASRock, B450M PRO4 R2.0,347.29,6,AM4,Micro ATX,128,4,Gray / Black
mobo,MSI, PRO H610M-G WIFI DDR4,428.97,33,LGA1700,Micro ATX,64,2,Black / Silver
mobo,ASRock, H610M-HVS,303.22,8,LGA1700,Micro ATX,64,2,Gray / Black
mobo,MSI, MPG Z790 EDGE TI MAX WIFI,1299.86,17,LGA1700,ATX,192,4,Silver / Black
mobo,ASRock, B650E PG RIPTIDE WIFI,823.23,14,AM5,ATX,192,4,Black / Blue
mobo,ASRock, Z690 Extreme,563.25,20,LGA1700,ATX,128,4,Black / Silver
mobo,Gigabyte, Z790 EAGLE AX,797.01,19,LGA1700,ATX,192,4,Gray / Black
mobo,Gigabyte, B650E AORUS ELITE X AX ICE,1083.21,55,AM5,ATX,192,4,Silver / White
mobo,Gigabyte, B550M DS3H,385.64,23,AM4,Micro ATX,128,4,Black / Gold
mobo,Asus, ROG STRIX B650E-E GAMING WIFI,1434.83,45,AM5,ATX,192,4,Black
mobo,Gigabyte, B760 GAMING X AX,736.57,25,LGA1700,ATX,192,4,Black / Gray
mobo,Gigabyte, A520M K V2,338.15,36,AM4,Micro ATX,64,2,Brown / Black
mobo,Asus, ROG STRIX B550-F GAMING,688.9,42,AM4,ATX,128,4,Black
mobo,ASRock, B550 Phantom Gaming 4/ac,389.93,7,AM4,ATX,128,4,Silver / Black
mobo,MSI, PRO B760M-A WIFI DDR4,649.91,9,LGA1700,Micro ATX,128,4,Black
mobo,Asus, TUF GAMING B760M-PLUS WIFI II,844.89,25,LGA1700,Micro ATX,192,4,Black / Orange
mobo,Gigabyte, B760I AORUS PRO,866.56,44,LGA1700,Mini ITX,96,2,Silver / Black
mobo,ASRock, B650M PG RIPTIDE WIFI,736.57,45,AM5,Micro ATX,192,4,Black
mobo,Asus, TUF GAMING B650M-PLUS WIFI,823.23,34,AM5,Micro ATX,192,4,Black
mobo,Asus, ROG STRIX X670E-F GAMING WIFI,1516.51,27,AM5,ATX,192,4,Black / Silver
mobo,Asus, ProArt Z790-CREATOR WIFI,1906.48,5,LGA1700,ATX,192,4,Black / Copper
mobo,Asus, PRIME B650-PLUS,714.9,32,AM5,ATX,192,4,Black / Silver
mobo,MSI, A520M-A PRO,303.27,48,AM4,Micro ATX,64,2,Black
mobo,NZXT, N7 Z790,1286.86,23,LGA1700,ATX,192,4,Black
mobo,ASRock, B550M-HDV,324.89,50,AM4,Micro ATX,64,2,Black
mobo,ASRock, B550M PG RIPTIDE,446.21,34,AM4,Micro ATX,128,4,
mobo,Asus, ROG STRIX X670E-I GAMING WIFI,1841.48,36,AM5,Mini ITX,96,2,Black / Silver
mobo,Asus, ROG STRIX B760-A GAMING WIFI,909.89,36,LGA1700,ATX,192,4,Silver / Black
mobo,Gigabyte, X670 GAMING X AX V2,909.89,28,AM5,ATX,192,4,Black / Gray
mobo,Gigabyte, A520M DS3H V2,386.5,1,AM4,Micro ATX,128,4,Gray / Brown
mobo,Asus, ROG STRIX Z790-H GAMING WIFI,1083.21,22,LGA1700,ATX,192,4,Black
mobo,MSI, Z790 GAMING PLUS WIFI,866.56,42,LGA1700,ATX,192,4,Black
mobo,ASRock, Z690 Pro RS,519.92,26,LGA1700,ATX,128,4,Silver / Black
mobo,Asus, ROG STRIX Z790-F GAMING WIFI II,1776.49,50,LGA1700,ATX,192,4,Black
mobo,MSI, MEG X670E GODLIKE,5576.61,6,AM5,EATX,192,4,Black
mobo,Gigabyte, TRX40 AORUS PRO WIFI,2296.45,40,sTRX4,ATX,256,8,Black / Orange
mobo,Asus, TUF GAMING B550M-PLUS WIFI II,876.74,56,AM4,Micro ATX,128,4,Black / Gray
mobo,MSI, PRO Z790-S WIFI,736.57,32,LGA1700,ATX,192,4,Black
mobo,Asus, ROG STRIX X670E-A GAMING WIFI,1451.51,20,AM5,ATX,192,4,Silver / Black
mobo,ASRock, H370M-HDV,324.76,47,LGA1151,Micro ATX,64,2,Black / Silver
mobo,ASRock, B550 Phantom Gaming-ITX/ax,693.24,20,AM4,Mini ITX,64,2,Silver / Black
mobo,Asus, PRIME B660M-A WIFI D4,742.11,33,LGA1700,Micro ATX,128,4,Silver / Black
mobo,MSI, MAG B760M MORTAR WIFI II,779.9,31,LGA1700,Micro ATX,192,4,Silver / Black
mobo,Asus, ROG STRIX Z790-A GAMING WIFI D4,953.22,34,LGA1700,ATX,128,4,Black / Silver
mobo,MSI, MAG B650M MORTAR WIFI,866.38,55,AM5,Micro ATX,192,4,Black
mobo,MSI, MPG Z790I EDGE WIFI,1290.5,51,LGA1700,Mini ITX,96,2,Silver / Black
mobo,MSI, PRO B550-VC,606.58,45,AM4,ATX,128,4,Black
mobo,Gigabyte, Z790 AORUS ELITE AX ICE,1126.54,0,LGA1700,ATX,192,4,Silver / White
mobo,Asus, PRIME B550-PLUS,476.59,4,AM4,ATX,128,4,Black / White
mobo,ASRock, B760M Pro RS/D4 WiFi,645.57,6,LGA1700,Micro ATX,128,4,Silver / Black
mobo,ASRock, X670E PG Lightning,1034.55,6,AM5,ATX,192,4,Black
mobo,Gigabyte, A520M S2H,348.72,42,AM4,Micro ATX,64,2,Black
mobo,ASRock, B550 Phantom Gaming 4,389.93,28,AM4,ATX,128,4,Silver / Black
mobo,MSI, MAG Z790 TOMAHAWK MAX WIFI,1169.87,20,LGA1700,ATX,192,4,Black / Yellow
mobo,MSI, PRO-H610M-E-DDR4,394.78,16,LGA1700,Micro ATX,64,2,Black
mobo,Gigabyte, H510M K V2,367.14,8,LGA1200,Micro ATX,64,2,Black / Gray
mobo,Asus, PRIME Z790-A WIFI,1078.92,28,LGA1700,ATX,192,4,Black / Silver
mobo,Asus, PRIME A320M-K,298.89,8,AM4,Micro ATX,32,2,Black / White
mobo,MSI, MPG X670E CARBON WIFI,1776.49,37,AM5,ATX,192,4,Black
mobo,Intel, DQ45EK,1196.3,39,LGA775,Mini ITX,4,2,Green / Blue
mobo,Asus, ROG MAXIMUS Z790 HERO,2296.45,25,LGA1700,ATX,192,4,Black
mobo,ASRock, B450M Steel Legend,389.93,9,AM4,Micro ATX,64,4,Black / White
mobo,Gigabyte, Z790 AORUS ELITE X AX,996.55,22,LGA1700,ATX,192,4,Black
mobo,MSI, MPG B650 EDGE WIFI,987.88,20,AM5,ATX,192,4,Black / Silver
