item_type,brand,name,price,type,efficiency,wattage,modular,color
psu,Corsair, RM750e (2023),433.26,ATX,gold,750,Full,Black
psu,Corsair, RM850e (2023),519.92,ATX,gold,850,Full,Black
psu,Corsair, RM1000e (2023),693.24,ATX,gold,1000,Full,Black
psu,Corsair, RM650 (2023),389.93,ATX,gold,650,Full,Black
psu,MSI, MAG A650BN,255.65,ATX,bronze,650,false,Black
psu,MSI, MAG A850GL PCIE5,389.93,ATX,gold,850,Full,Black
psu,Corsair, CX650M (2021),346.6,ATX,bronze,650,Semi,Black
psu,MSI, MAG A550BN,212.32,ATX,bronze,550,false,Black
psu,Corsair, SF750,801.56,SFX,platinum,750,Full,
psu,Corsair, RM850,541.58,ATX,gold,850,Full,White / Black
psu,Corsair, RM850x (2021),649.91,ATX,gold,850,Full,Black
psu,Thermaltake, Smart,169.25,ATX,plus,500,false,
psu,Cooler Master, MWE Gold 850 - V2,389.93,ATX,gold,850,Full,Black
psu,Corsair, RM1000x (2021),693.24,ATX,gold,1000,Full,Black
psu,Asus, ROG THOR 1600T Gaming,3033.06,ATX,titanium,1600,Full,Silver / Black
psu,Thermaltake, Smart,177.61,ATX,plus,600,false,
psu,MSI, MAG A750GL PCIE5,385.64,ATX,gold,750,Full,Black
psu,MSI, MAG A650GL,346.55,ATX,gold,650,Full,Black
psu,Corsair, SF850L,624.17,SFX,gold,850,Full,Black
psu,SeaSonic, FOCUS GX,324.93,ATX,gold,750,Full,Black
psu,Apevia, Galaxy,238.27,ATX,gold,650,Semi,Black
psu,Corsair, HX1500i (2023),1559.84,ATX,platinum,1500,Full,Black
psu,SeaSonic, FOCUS Plus 650 Gold,547.99,ATX,gold,650,Full,
psu,Corsair, RM750,476.59,ATX,gold,750,Full,White / Black
psu,be quiet!, Pure Power 12 M,389.54,ATX,gold,750,Full,Black
psu,be quiet!, Pure Power 12 M,432.87,ATX,gold,850,Full,Black
psu,Gigabyte, UD750GM,399.16,ATX,gold,750,Full,Black
psu,Corsair, RM750x (2021),433.26,ATX,gold,750,Full,Black
psu,Corsair, CX750M (2021),389.75,ATX,bronze,750,Semi,Black
psu,Thermaltake, Toughpower GF A3 Snow,519.92,ATX,gold,850,Full,White
psu,MSI, A1000G PCIE5,684.57,ATX,gold,1000,Full,Black
psu,Corsair, SF1000L,680.02,SFX,gold,1000,Full,Black
psu,Corsair, CX (2023),324.89,ATX,bronze,750,false,Black
psu,Silverstone, HELA,2696.38,ATX,,2050,Full,Black / White
psu,Corsair, CX (2023),281.56,ATX,bronze,650,false,Black
psu,Corsair, AX1600i,2642.87,ATX,titanium,1600,Full,
psu,Apevia, Prestige,225.27,ATX,gold,600,false,Black
psu,be quiet!, Dark Power 13,996.16,ATX,titanium,1000,Full,Black
psu,EVGA, 650 B5,324.93,ATX,bronze,650,Full,Black
psu,Thermaltake, Toughpower GX2,259.94,ATX,gold,600,false,Black
psu,Corsair, RMe (2023),736.57,ATX,gold,1200,Full,Black
psu,Cooler Master, V750 SFX GOLD,454.92,SFX,gold,750,Full,Black
psu,SeaSonic, FOCUS GX-1000 ATX 3.0,606.58,ATX,gold,1000,Full,Black
psu,EVGA, 500 BR,259.94,ATX,bronze,500,false,
psu,NZXT, C850 (2022),433.26,ATX,gold,850,Full,Black
psu,Corsair, CX (2023),259.94,ATX,bronze,550,false,Black
psu,Thermaltake, Toughpower GF1 (2024),411.59,ATX,gold,850,Full,Black
