item_type,brand,name,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency
ram,Corsair, Vengeance LPX 16 GB,168.94,"4,3200","2,8",2.437,Black / Yellow,10.0,16.0
ram,Corsair, Vengeance 32 GB,493.92,"5,5600","2,16",3.562,Black,12.857,36.0
ram,G.Skill, Trident Z5 RGB 32 GB,511.25,"5,6000","2,16",3.687,Black,12.0,36.0
ram,Corsair, Vengeance 32 GB,498.25,"5,6000","2,16",3.593,Black / Gray,10.0,30.0
ram,Corsair, Vengeance RGB Pro 32 GB,411.59,"4,3600","2,16",2.968,Black,10.0,18.0
ram,G.Skill, Trident Z5 RGB 64 GB,944.55,"5,6400","2,32",3.406,Black / Silver,10.0,32.0
ram,Corsair, Vengeance LPX 32 GB,303.22,"4,3600","2,16",2.187,Black / Yellow,10.0,18.0
ram,Corsair, Vengeance RGB 32 GB,554.58,"5,6000","2,16",4.0,White,12.0,36.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,463.59,"5,6000","2,16",3.343,White,10.0,30.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,463.59,"5,6000","2,16",3.343,Black,10.0,30.0
ram,Corsair, Vengeance RGB Pro 16 GB,242.6,"4,3200","2,8",3.499,Black,10.0,16.0
ram,Corsair, Vengeance 16 GB,324.89,"5,5200","2,8",4.686,Black,15.385,40.0
ram,G.Skill, Flare X5 32 GB,446.26,"5,6000","2,16",3.218,Black,12.0,36.0
ram,G.Skill, Trident Z5 Neo RGB 32 GB,489.59,"5,6000","2,16",3.531,Black,10.0,30.0
ram,Silicon, Power GAMING 16 GB,142.86,"4,3200","2,8",2.061,Black / Gray,10.0,16.0
ram,Corsair, Vengeance 64 GB,693.24,"5,5200","2,32",2.5,Black,15.385,40.0
ram,G.Skill, Ripjaws V 16 GB,16962.61,"4,4800","2,8",244.672,Black,7.083,17.0
ram,G.Skill, Flare X5 32 GB,454.92,"5,6000","2,16",3.281,Black,10.0,30.0
ram,TEAMGROUP, T-Create Expert 32 GB,424.59,"5,6000","2,16",3.062,Black,10.0,30.0
ram,G.Skill, Ripjaws V 16 GB,160.32,"4,3200","2,8",2.312,Black,10.0,16.0
ram,TEAMGROUP, T-Force Vulcan Z 16 GB,142.95,"4,3200","2,8",2.062,Black,10.0,16.0
ram,Corsair, Vengeance RGB 32 GB,584.91,"5,6000","2,16",4.218,Black,13.333,40.0
ram,Corsair, Vengeance RGB 32 GB,476.59,"5,6000","2,16",3.437,Black,12.0,36.0
ram,Corsair, Vengeance LPX 16 GB,216.61,"4,3600","2,8",3.124,Black,10.0,18.0
ram,G.Skill, Ripjaws V 32 GB,290.22,"4,3200","2,16",2.093,Black,10.0,16.0
ram,Corsair, Dominator Titanium 64 GB,1343.19,"5,6600","2,32",4.844,White,9.697,32.0
ram,G.Skill, Flare X5 32 GB,420.26,"5,6000","2,16",3.031,Black,10.667,32.0
ram,Corsair, Vengeance LPX 32 GB,290.22,"4,3200","2,16",2.093,Black / Yellow,10.0,16.0
ram,Corsair, Vengeance 32 GB,411.59,"5,5200","2,16",2.968,Black,15.385,40.0
ram,G.Skill, Ripjaws S5 32 GB,476.59,"5,6000","2,16",3.437,Black,10.0,30.0
ram,Corsair, Vengeance RGB 64 GB,974.88,"5,6000","2,32",3.515,Black,10.0,30.0
ram,TEAMGROUP, T-Force Vulcan Z 32 GB,251.27,"4,3600","2,16",1.812,Black,10.0,18.0
ram,Corsair, Vengeance RGB Pro SL 32 GB,359.6,"4,3600","2,16",2.593,White / Black,10.0,18.0
ram,TEAMGROUP, T-Force Vulcan Z 32 GB,228.57,"4,3200","2,16",1.648,Gray,10.0,16.0
ram,Silicon, Power Value Gaming 32 GB,411.51,"5,6000","2,16",2.968,Black,10.0,30.0
ram,Silicon, Power GAMING 32 GB,223.11,"4,3200","2,16",1.609,Black,10.0,16.0
ram,G.Skill, Trident Z5 Neo 64 GB,909.89,"5,6000","2,32",3.281,Black / Silver,10.0,30.0
ram,Corsair, Vengeance RGB 32 GB,541.58,"5,6000","2,16",3.906,Gray,10.0,30.0
ram,Kingston, FURY Beast 16 GB,213.14,"4,3200","2,8",3.074,Black,10.0,16.0
ram,G.Skill, Trident Z5 RGB 32 GB,576.25,"5,7200","2,16",4.156,Black,9.444,34.0
ram,Corsair, Vengeance LPX 64 GB,563.25,"4,3200","2,32",2.031,Black / Yellow,10.0,16.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,303.22,"4,3600","2,16",2.187,White,10.0,18.0
ram,Kingston, FURY Beast 32 GB,519.92,"5,6000","2,16",3.75,Black,12.0,36.0
ram,Corsair, Vengeance RGB Pro 16 GB,272.94,"4,3200","2,8",3.937,White,10.0,16.0
ram,G.Skill, Trident Z5 RGB 32 GB,476.59,"5,6400","2,16",3.437,Black,10.0,32.0
ram,Corsair, Dominator Titanium 64 GB,1343.19,"5,6600","2,32",4.844,Black,9.697,32.0
ram,Corsair, Vengeance RGB 128 GB,1993.14,"5,5600","4,32",3.594,Black,14.286,40.0
ram,G.Skill, Trident Z RGB 32 GB,368.26,"4,3200","2,16",2.656,Black,10.0,16.0
ram,G.Skill, Trident Z5 RGB 32 GB,476.59,"5,6400","2,16",3.437,White / Black,10.0,32.0
ram,Corsair, Vengeance 64 GB,953.22,"5,6400","2,32",3.437,Black / Gray,10.0,32.0
ram,Corsair, Vengeance 32 GB,454.92,"5,6000","2,16",3.281,Black,12.0,36.0
ram,TEAMGROUP, T-Force Delta RGB 16 GB,207.94,"4,3600","2,8",2.999,Black,10.0,18.0
ram,TEAMGROUP, T-Force Vulcan 32 GB,446.26,"5,6000","2,16",3.218,Black,10.0,30.0
ram,G.Skill, Ripjaws V 16 GB,190.61,"4,3600","2,8",2.749,Black,8.889,16.0
ram,G.Skill, Trident Z5 RGB 48 GB,1733.16,"5,8400","2,24",8.333,Black,9.524,40.0
ram,Corsair, Vengeance RGB 32 GB,476.59,"5,5200","2,16",3.437,White,15.385,40.0
ram,TEAMGROUP, T-Force Delta RGB 16 GB,207.94,"4,3600","2,8",2.999,White,10.0,18.0
ram,G.Skill, Flare X5 64 GB,866.56,"5,6000","2,32",3.125,Black,10.0,30.0
ram,Corsair, Vengeance RGB 64 GB,996.55,"5,6000","2,32",3.594,White / Silver,10.0,30.0
ram,Silicon, Power SP016GBLFU320B22 16 GB,129.86,"4,3200","2,8",1.873,,13.75,22.0
ram,Kingston, FURY Beast 16 GB,311.89,"5,6000","2,8",4.499,Black,13.333,40.0
ram,Silicon, Power SP032GBLVU560FD2AD 32 GB,329.18,"5,5600","2,16",2.374,Black,16.429,46.0
ram,TEAMGROUP, T-Create Classic 32 GB,363.93,"5,5600","2,16",2.625,Black,16.429,46.0
ram,G.Skill, Ripjaws V 32 GB,346.55,"4,3600","2,16",2.499,Black,8.889,16.0
ram,Kingston, FURY Beast RGB 32 GB,554.58,"5,6000","2,16",4.0,Black,12.0,36.0
ram,G.Skill, Trident Z 32 GB,3271.16,"5,6000","2,16",23.592,White / Black,13.333,40.0
ram,TEAMGROUP, T-Create Expert 32 GB,424.59,"5,6000","2,16",3.062,White,10.0,30.0
ram,Corsair, Vengeance 32 GB,498.25,"5,6000","2,16",3.593,Black,12.0,36.0
ram,Crucial, Pro 32 GB,259.94,"4,3200","2,16",1.875,Black,13.75,22.0
ram,G.Skill, Trident Z RGB 16 GB,242.56,"4,3600","2,8",3.499,Black,10.0,18.0
ram,Kingston, FURY Beast 32 GB,324.89,"4,3200","2,16",2.343,Black,10.0,16.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,303.22,"4,3600","2,16",2.187,Black,10.0,18.0
ram,Corsair, Dominator Platinum RGB 32 GB,758.23,"5,6200","2,16",5.468,White,11.613,36.0
ram,Crucial, CT2K8G48C40U5 16 GB,238.27,"5,4800","2,8",3.437,Black,16.667,40.0
ram,TEAMGROUP, T-Create Expert 32 GB,411.59,"5,6400","2,16",2.968,Black,10.0,32.0
ram,G.Skill, Ripjaws S5 32 GB,428.92,"5,6000","2,16",3.093,Black,12.0,36.0
ram,Crucial, Pro Overclocking 32 GB,454.92,"5,6000","2,16",3.281,Black,12.0,36.0
ram,G.Skill, Trident Z5 Neo RGB 64 GB,931.55,"5,6000","2,32",3.359,Black / Silver,10.0,30.0
ram,Crucial, Pro 64 GB,689.77,"5,5600","2,32",2.487,Black,16.429,46.0
ram,Corsair, Vengeance RGB 192 GB,2859.74,"5,5200","4,48",3.437,Black,14.615,38.0
ram,Corsair, Vengeance 32 GB,511.25,"5,6400","2,16",3.687,Black,10.0,32.0
ram,TEAMGROUP, T-Force Vulcan 32 GB,398.59,"5,6000","2,16",2.875,Black,12.667,38.0
ram,ADATA, XPG Lancer Blade 32 GB,489.59,"5,6000","2,16",3.531,Black,10.0,30.0
ram,Lexar, THOR OC 32 GB,454.92,"5,6000","2,16",3.281,Black / Gold,10.667,32.0
ram,Silicon, Power XPOWER Zenith Gaming 32 GB,376.93,"5,6000","2,16",2.718,White,10.0,30.0
ram,Patriot, Viper Venom 16 GB,268.6,"5,5200","2,8",3.874,Black / White,13.846,36.0
ram,Corsair, Vengeance 64 GB,944.55,"5,6000","2,32",3.406,Black / Gray,10.0,30.0
ram,TEAMGROUP, Vulcan Z 16 GB,164.61,"4,3600","2,8",2.374,Black,10.0,18.0
ram,Corsair, Vengeance RGB Pro 256 GB,7185.37,"4,3000","8,32",6.478,Black,10.667,16.0
ram,Corsair, Vengeance RGB 32 GB,541.58,"5,6400","2,16",3.906,Black / Gray,10.0,32.0
ram,Corsair, Vengeance 128 GB,1863.15,"5,5600","4,32",3.359,Black,14.286,40.0
ram,Corsair, Vengeance RGB Pro 32 GB,389.93,"4,3200","2,16",2.812,Black,10.0,16.0
ram,Corsair, Dominator Titanium 32 GB,727.9,"5,6000","2,16",5.25,White,10.0,30.0
ram,G.Skill, Trident Z5 RGB 96 GB,1733.16,"5,6800","2,48",4.167,Black,10.0,34.0
ram,Crucial, CT25664AA667 2 GB,47.66,"2,667","1,2",5.5,Green,14.993,5.0
ram,Silicon, Power XPOWER Turbine 16 GB,142.86,"4,3200","2,8",2.061,Blue,10.0,16.0
ram,Corsair, Vengeance LPX 8 GB,108.28,"4,2400","1,8",3.124,Black / Yellow,13.333,16.0
ram,Crucial, Pro 32 GB,450.07,"5,5600","2,16",3.246,Black,16.429,46.0
ram,G.Skill, Trident Z5 RGB 64 GB,944.55,"5,6400","2,32",3.406,White / Black,10.0,32.0
ram,Corsair, Dominator Titanium 96 GB,1863.15,"5,6600","2,48",4.479,Black,9.697,32.0
ram,Kingston, FURY Beast 8 GB,103.91,"4,3200","1,8",2.998,Black,10.0,16.0
ram,Corsair, Vengeance LPX 16 GB,194.94,"4,3200","2,8",2.812,Black,10.0,16.0
ram,G.Skill, Trident Z Neo 32 GB,389.93,"4,3600","2,16",2.812,Black / Silver,8.889,16.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,433.26,"5,6400","2,16",3.125,Black,12.5,40.0
ram,G.Skill, Ripjaws S5 32 GB,476.59,"5,6000","2,16",3.437,White,10.0,30.0
ram,G.Skill, Ripjaws S5 32 GB,459.25,"5,5600","2,16",3.312,Black,10.0,28.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,454.92,"5,6000","2,16",3.281,White,12.667,38.0
ram,G.Skill, Ripjaws S5 64 GB,857.89,"5,6000","2,32",3.094,Black,10.0,30.0
ram,Crucial, CT16G48C40U5 16 GB,190.65,"5,4800","1,16",2.75,Black,16.667,40.0
ram,G.Skill, Aegis 16 GB,184.93,"4,3200","2,8",2.667,Red / Black,10.0,16.0
ram,Lexar, Ares RGB 32 GB,498.25,"5,6400","2,16",3.593,Black / Silver,10.0,32.0
ram,Corsair, Vengeance 64 GB,1074.54,"5,6800","2,32",3.875,Black / Gray,9.412,32.0
ram,TEAMGROUP, T-Create Classic 32 GB,381.26,"5,6000","2,16",2.75,Black,16.0,48.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,433.26,"5,6400","2,16",3.125,White,12.5,40.0
ram,G.Skill, Trident Z RGB 64 GB,606.58,"4,3600","2,32",2.187,Black,10.0,18.0
ram,G.Skill, Trident Z Neo 256 GB,2534.76,"4,3200","8,32",2.285,Black / Silver,10.0,16.0
ram,Corsair, Vengeance RGB Pro 32 GB,402.93,"4,3200","2,16",2.906,White,10.0,16.0
ram,Corsair, Dominator Platinum RGB 32 GB,758.23,"5,6200","2,16",5.468,Black,11.613,36.0
ram,G.Skill, Ripjaws V 64 GB,16348.28,"4,3400","4,16",58.953,Black,9.412,16.0
ram,Corsair, Dominator Titanium 96 GB,1863.15,"5,6600","2,48",4.479,White,9.697,32.0
ram,Corsair, Vengeance LPX 16 GB,199.27,"4,3200","2,8",2.874,White,10.0,16.0
ram,G.Skill, Trident Z5 Neo 32 GB,506.92,"5,6000","2,16",3.656,Black,10.0,30.0
ram,Corsair, Vengeance 16 GB,337.89,"3,1600","2,8",4.874,Black / Yellow,11.25,9.0
ram,G.Skill, Trident Z5 RGB 64 GB,1126.54,"5,6800","2,32",4.062,Black,10.0,34.0
ram,Kingston, FURY Beast 16 GB,329.26,"5,6000","2,8",4.749,Black / Silver,12.0,36.0
ram,Kingston, FURY 128 GB,1984.47,"5,5600","4,32",3.578,White,14.286,40.0
ram,Corsair, Vengeance 96 GB,1499.17,"5,6400","2,48",3.604,Black,10.0,32.0
ram,TEAMGROUP, Elite 32 GB,229.61,"4,3200","2,16",1.656,Black,13.75,22.0
ram,Kingston, FURY Beast 16 GB,344.26,"5,5600","2,8",4.966,Black / Silver,12.857,36.0
ram,Patriot, Viper Venom 32 GB,450.59,"5,6400","2,16",3.25,Black / White,10.0,32.0
ram,Corsair, Vengeance RGB 32 GB,489.59,"5,6400","2,16",3.531,Black,11.25,36.0
ram,Corsair, Vengeance 32 GB,424.59,"5,4800","2,16",3.062,Black,16.667,40.0
ram,Corsair, Vengeance RGB 32 GB,476.59,"5,5200","2,16",3.437,Black,15.385,40.0
ram,Silicon, Power XPOWER Turbine 32 GB,223.11,"4,3200","2,16",1.609,Blue,10.0,16.0
ram,Corsair, Vengeance RGB Pro 16 GB,229.61,"4,3600","2,8",3.312,Black,10.0,18.0
ram,G.Skill, Ripjaws V 32 GB,294.6,"4,3600","2,16",2.125,Black,10.0,18.0
ram,G.Skill, Ripjaws S5 32 GB,476.59,"5,6400","2,16",3.437,Black,10.0,32.0
ram,G.Skill, Ripjaws S5 64 GB,844.89,"5,5600","2,32",3.047,Black,10.0,28.0
ram,TEAMGROUP, T-Force Delta RGB 64 GB,801.56,"5,6000","2,32",2.89,White / Silver,12.667,38.0
ram,G.Skill, Trident Z5 RGB 48 GB,1733.16,"5,8400","2,24",8.333,White,9.524,40.0
ram,Corsair, Dominator Titanium 64 GB,1559.84,"5,6400","4,16",5.625,White,10.0,32.0
ram,ADATA, XPG Lancer Blade RGB 32 GB,641.41,"5,6400","2,16",4.626,Black,10.0,32.0
ram,Corsair, Vengeance RGB 64 GB,987.88,"5,6400","2,32",3.562,Black / Gray,10.0,32.0
ram,G.Skill, Trident Z5 Neo RGB 32 GB,541.58,"5,6000","2,16",3.906,Silver / Black,10.0,30.0
ram,TEAMGROUP, T-Force Vulcan Z 16 GB,151.61,"4,3200","2,8",2.187,Gray,10.0,16.0
ram,Crucial, Classic 16 GB,242.6,"5,5600","2,8",3.499,Black,16.429,46.0
ram,G.Skill, Ripjaws V 32 GB,324.93,"4,4000","2,16",2.343,Black,9.0,18.0
ram,Silicon, Power SP016GLLTU160N22 16 GB,77.91,"3,1600","2,8",1.124,Green,13.75,11.0
ram,TEAMGROUP, T-Create Expert 32 GB,411.59,"5,6000","2,16",2.968,Black,12.667,38.0
ram,Kingston, HyperX Fury 8 GB,220.94,"4,2666","1,8",6.374,Black,12.003,16.0
ram,Corsair, Vengeance 32 GB,541.58,"5,6000","2,16",3.906,Black / Silver,10.0,30.0
ram,Corsair, Vengeance RGB 32 GB,589.24,"5,6000","2,16",4.25,White / Silver,10.0,30.0
ram,KingBank, SharpBlade 32 GB,376.93,"5,6000","2,16",2.718,Black,12.0,36.0
ram,Patriot, Viper Venom 32 GB,424.59,"5,6000","2,16",3.062,Black / White,12.0,36.0
ram,TEAMGROUP, T-Force Delta RGB 32 GB,528.58,"5,7200","2,16",3.812,White / Gray,9.444,34.0
ram,Corsair, Dominator Platinum RGB 64 GB,1516.51,"5,6600","4,16",5.469,Black,9.697,32.0
ram,Corsair, Vengeance 192 GB,2729.75,"5,5200","4,48",3.281,Black,14.615,38.0
ram,Kingston, FURY Beast 16 GB,279.0,"5,5200","2,8",4.024,Black,15.385,40.0
ram,Corsair, Vengeance LPX 64 GB,619.58,"4,3600","2,32",2.234,Black,10.0,18.0
ram,Crucial, CT8G48C40U5 8 GB,99.62,"5,4800","1,8",2.874,Black,16.667,40.0
ram,Silicon, Power XPOWER Zenith Gaming 32 GB,376.93,"5,6000","2,16",2.718,Black,10.0,30.0
ram,G.Skill, Aegis 32 GB,285.89,"4,3200","2,16",2.062,Red / Black,10.0,16.0
ram,TEAMGROUP, Elite 32 GB,329.22,"5,4800","2,16",2.374,Black,16.667,40.0
ram,G.Skill, Trident Z5 RGB 48 GB,1083.21,"5,8000","2,24",5.208,Black,10.0,40.0
ram,TEAMGROUP, T-Create Expert 64 GB,801.56,"5,6000","2,32",2.89,Black,11.333,34.0
ram,Corsair, Vengeance RGB 32 GB,541.58,"5,6000","2,16",3.906,Black / Gray,10.0,30.0
ram,ADATA, XPG Lancer Blade RGB 32 GB,476.59,"5,6000","2,16",3.437,Black,10.0,30.0
ram,Corsair, Vengeance LPX 16 GB,194.9,"4,3000","2,8",2.811,Black / Yellow,10.0,15.0
ram,Kingston, Server Premier 64 GB,764.73,"4,3200","1,64",2.758,,13.75,22.0
ram,Crucial, CT8G4DFRA32A 8 GB,86.57,"4,3200","1,8",2.498,Green,13.75,22.0
ram,Corsair, Dominator Titanium 32 GB,727.9,"5,6000","2,16",5.25,Black,10.0,30.0
