item_type,name,price,capacity,cache,form_factor,interface
SSD,Samsung 980 Pro,736.57,2000.0,2048.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston NV2,264.27,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 970 Evo Plus,422.47,1000.0,1024.0,M.2-2280,M.2 PCIe 3.0 X4
SSD,Samsung 990 Pro,1379.41,4000.0,4096.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial P3 Plus,303.22,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 980 Pro,459.86,1000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 990 Pro,736.57,2000.0,2048.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Crucial P3 Plus,511.25,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Black SN850X,680.24,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Black SN850X,398.29,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Mushkin Source HC,9978.81,16000.0,,2.5,SATA 6.0 Gb/s
SSD,Kingston NV2,511.29,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 870 Evo,454.92,1000.0,1024.0,2.5,SATA 6.0 Gb/s
SSD,Western Digital Black SN770,364.62,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP MP33,160.28,512.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Sabrent Rocket 4 Plus,5156.23,8000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 970 Evo Plus,303.05,500.0,512.0,M.2-2280,M.2 PCIe 3.0 X4
SSD,Crucial P3,264.27,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Samsung 990 Pro,476.98,1000.0,1024.0,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Blue SN580,307.64,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Kingston NV2,186.28,500.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Black SN770,601.51,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Western Digital Black SN850X,1343.19,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 970 Evo Plus,649.91,2000.0,1024.0,M.2-2280,M.2 PCIe 3.0 X4
SSD,Crucial P3 Plus,1031.21,4000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Intel 750,10784.27,1200.0,,PCIe,PCIe x4
SSD,Samsung 870 Evo,823.23,2000.0,2048.0,2.5,SATA 6.0 Gb/s
SSD,Silicon Power UD90,472.25,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP MP44L,281.56,1000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Silicon Power A60,264.27,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,TEAMGROUP MP44L,498.25,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,TEAMGROUP MP33,268.6,1000.0,,M.2-2280,M.2 PCIe 3.0 X4
SSD,Western Digital Blue SN580,537.29,2000.0,,M.2-2280,M.2 PCIe 4.0 X4
SSD,Samsung 870 QVO,2577.7,8000.0,,2.5,SATA 6.0 Gb/s
SSD,Crucial T700,1850.15,4000.0,,M.2-2280,M.2 PCIe 5.0 X4
