name,price,rpm,noise_level,color,size
Thermalright Peerless Assassin 120 SE,146.89,1550,25.6,Black,
NZXT Kraken Elite 360 RGB,1187.2,"500,1800","17.9,30.6",White,360.0
Deepcool GAMMAXX AG400 ARGB,129.95,"500,2000",31.6,Black,
Corsair iCUE H150i ELITE CAPELLIX XT,823.23,"550,2100","5,34.1",Black,360.0
Cooler Master MASTERLIQUID ML240L RGB V2,433.26,"650,1800","6,27",Black,240.0
Noctua NH-D15 chromax.black,519.74,"300,1500","19.2,24.6",Black,
NZXT Kraken 240,524.25,"500,1800","17.9,30.6",Black,240.0
Thermalright Phantom Spirit 120 SE,155.55,1500,25.6,Black / Silver,
Deepcool AK620 ZERO DARK,268.56,"500,1850",28,Black,
ARCTIC Liquid Freezer III,506.92,"200,1800",,Black,360.0
Cooler Master Hyper 212 Black Edition,129.95,"650,2000","6.5,26",Black,
NZXT Kraken Elite 360 RGB,1195.86,"500,1800","17.9,30.6",Black,360.0
Deepcool LS720 SE WH,424.59,"500,2250","28.2,32.9",White,360.0
Thermalright Assassin X 120 Refined SE,77.52,1550,25.6,Black / Silver,
Deepcool LS720 SE,399.42,"500,2250","28.2,32.9",Black,360.0
Thermalright Peerless Assassin 120 SE WHITE ARGB,160.28,1550,25.6,White,
Noctua NH-D15,476.41,"300,1500","19.2,24.6",,
Corsair iCUE H100x RGB ELITE,433.26,1500,"7,28",Black,240.0
Thermalright Phantom Spirit 120 SE ARGB,159.89,1500,25.6,Black / Silver,
Corsair iCUE H100i RGB ELITE,519.92,"400,1850","5,28.9",Black,240.0
Deepcool AK400,145.11,"500,1850",29,Black / Silver,
ID-COOLING SE-214-XT,77.91,"500,1500","13.8,30.5",Black,
ARCTIC Liquid Freezer III,433.26,"200,1800",,Black,240.0
Corsair iCUE H150i ELITE LCD XT,1083.21,"550,2100","5,34.1",Black,360.0
Noctua NH-U12S chromax.black,389.75,"300,1500","18.6,22.4",Black,
NZXT Kraken 240 RGB,749.57,"500,1800","17.9,30.6",White,240.0
be quiet! Pure Rock 2 Black,164.22,1500,"19.1,26.8",Black,
Deepcool LT720,460.34,"500,2250",32.9,Black / Gray,360.0
NZXT Kraken Elite 360,1156.87,"500,1800","17.9,30.6",Black,360.0
AMD Wraith Prism,242.65,2800,42,,
ARCTIC Liquid Freezer III A-RGB,606.58,"200,2000",,Black,360.0
Corsair H105,3765.51,"800,2700",37.7,,240.0
Thermalright Frozen Notte ARGB,233.55,2000,27.7,Black,240.0
Thermalright Frozen Notte ARGB,289.88,2000,27.7,White,360.0
NZXT Kraken 360 RGB,1111.59,"500,1800","17.9,30.6",White,360.0
Deepcool AK620 DIGITAL,320.56,"500,1850",28,Black,
be quiet! Dark Rock Pro 5,346.21,"1300,2000","8.9,23.3",Black,
Lian Li Galahad II Trinity SL-INF,736.39,2100,29,Black,360.0
Cooler Master MasterLiquid 360L Core ARGB,371.21,"350,1750",27.2,Black,360.0
Noctua NH-U12A chromax.black,563.03,"450,2000","18.8,22.6",Black,
Lian Li Galahad II Trinity SL-INF,714.9,2100,29,White,360.0
Thermalright Frozen Notte ARGB,281.21,2000,27.7,Black,360.0
Thermalright Assassin X Refined SE ARGB,81.85,1550,25.6,Black / Silver,
Thermalright Peerless Assassin 120 SE ARGB,146.89,1550,25.6,Black,
Intel E97379-001,38.95,"1200,2800",22,Silver / Black,
Deepcool AK400 DIGITAL,202.65,"500,1850",28,Black,
Noctua NH-L9A-AM5 CHROMAX.BLACK,238.1,"600,2500","14.8,23.6",Black,
Asus ROG Ryujin III ARGB,1473.18,"600,2200",36.45,Black,360.0
Deepcool AK400,146.02,"500,1850",29,White,
NZXT Kraken 360 RGB,953.22,"500,1800","17.9,30.6",Black,360.0
Thermalright Assassin King SE ARGB,87.05,1550,25.6,White,
NZXT Kraken 240 RGB,697.57,"500,1800","17.9,30.6",Black,240.0
Deepcool LS520 SE,324.93,"500,2250","28.2,32.9",Black,240.0
Corsair iCUE H150i ELITE CAPELLIX XT,866.56,"550,2100",,White,360.0
ARCTIC Liquid Freezer III A-RGB,619.58,"200,2000",,White,360.0
Noctua NH-L9i-17xx chromax.black,238.1,"600,2500","14.8,23.6",Black,
Lian Li Galahad II LCD SL-INF,1215.93,,29,Black,360.0
Deepcool AK620,238.27,"500,1850",28,White,
Noctua NH-L9a-AM4,194.77,"600,2500","14.8,23.6",Brown,
Lian Li Galahad II LCD SL-INF,1169.87,,29,White,360.0
Deepcool AK620,238.27,"500,1850",28,Black / Silver,
Thermalright Frozen Notte ARGB,220.55,2000,27.7,White,240.0
Deepcool AK400 ZERO DARK,173.23,"500,1850",29,Black,
Deepcool AK500 ZERO DARK,199.23,"500,1850","25.9,31.5",Black,
Deepcool LT720 WH,433.26,"500,2250",32.9,White,360.0
ARCTIC Freezer 36,160.28,"200,1800",,Black,
Cooler Master Hyper 212 RGB Black Edition,246.94,"650,2000","8,30",,
Noctua NH-L12S,281.21,"450,1850","16.8,23.9",,
Deepcool LT520,366.96,"500,2250",32.9,Black / Gray,240.0
Cooler Master Hyper 212 Spectrum V3,90.91,"650,1750",27.2,Black / Silver,
Asus ROG RYUJIN II,2162.17,"450,2000",29.7,Black,360.0
be quiet! Dark Rock 4,475.2,1400,,Black,
Corsair iCUE H100i ELITE CAPELLIX XT,628.24,"550,2100","5,34.1",Black,240.0
ARCTIC Liquid Freezer III,485.25,"200,1700",,Black,280.0
Deepcool ASSASSIN IV,368.26,"500,1700","22.6,29.3",Black,
Corsair iCUE LINK H150i LCD,974.88,"480,2400",,Black,360.0
Lian Li Galahad II Trinity,515.63,2450,35.4,White,360.0
Corsair iCUE H150i ELITE LCD XT,1126.54,"550,2100","5,31.1",White / Gray,360.0
ARCTIC Liquid Freezer III,554.58,"200,1700",,Black,420.0
Thermalright AXP90-X47,99.23,2700,22.4,Black,
ARCTIC Liquid Freezer II 280,411.59,"200,1700",,Black,280.0
NZXT T120 RGB,216.61,"500,1800","17.2,27.5",Black,
be quiet! Pure Rock Slim 2,107.89,,"13.1,25.4",Black / Silver,
Asus ROG STRIX LC II ARGB,563.25,"800,2500",37.6,Black,360.0
Noctua NH-D9L,238.1,"400,2000","16.3,22.8",,
Cooler Master MasterLiquid ML240L ARGB V2,259.94,"650,1800","8,27",Black,240.0
Thermalright Assassin Spirit 120 EVO,99.23,2000,28.2,Black,
Thermalright Phantom Spirit,164.22,1500,25.6,Black / Silver,
Deepcool LS720,602.29,"500,2250",32.9,Black,360.0
NZXT Kraken Elite 240,693.24,"500,1800","17.9,30.6",Black,240.0
Noctua NH-U9S chromax.black,303.09,"400,2000","16.3,22.8",Black,
Noctua NH-L9A-AM5,194.77,"600,2500","14.8,23.6",Brown / Silver,
Corsair iCUE H150i RGB ELITE,779.9,"400,1850","19,35.8",Black,360.0
Corsair iCUE LINK H150i LCD,1234.86,"480,2400",,White,360.0
Thermalright Assassin X SE,73.18,2200,23.85,Black / Silver,
Noctua NH-D15S chromax.black,476.41,"300,1500","19.2,24.6",Black,
NZXT Kraken Z73,1642.21,"500,1800","21,36",Black,360.0
NZXT Kraken Elite 280 RGB,823.23,"500,1500",34.48,White,280.0
NZXT Kraken Elite 240 RGB,1025.88,"500,1800","17.9,30.6",White,240.0
Cooler Master Hyper 212 (2023),129.95,"690,2500",32.8,Black,
