name,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 980 Pro,736.57,2000.0,0.085,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,264.27,1000.0,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,422.47,1000.0,0.098,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro,1379.41,4000.0,0.08,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,303.22,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980 Pro,459.86,1000.0,0.106,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro,736.57,2000.0,0.085,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3 Plus,511.25,2000.0,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,680.24,2000.0,0.078,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,281.56,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Black SN850X,398.29,1000.0,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,9978.81,16000.0,0.144,SSD,,2.5,SATA 6.0 Gb/s
Kingston NV2,511.29,2000.0,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,454.92,1000.0,0.105,SSD,1024.0,2.5,SATA 6.0 Gb/s
Western Digital Black SN770,364.62,1000.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,160.28,512.0,0.072,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Sabrent Rocket 4 Plus,5156.23,8000.0,0.149,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,303.05,500.0,0.14,SSD,512.0,M.2-2280,M.2 PCIe 3.0 X4
Crucial P3,264.27,1000.0,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate IronWolf Pro,2079.8,24000.0,0.02,7200,512.0,3.5,SATA 6.0 Gb/s
Samsung 990 Pro,476.98,1000.0,0.11,SSD,1024.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,307.64,1000.0,0.071,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston NV2,186.28,500.0,0.086,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,601.51,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN850X,1343.19,4000.0,0.077,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,346.6,4000.0,0.02,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 970 Evo Plus,649.91,2000.0,0.075,SSD,1024.0,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Caviar Blue,169.77,1000.0,0.039,7200,64.0,3.5,SATA 6.0 Gb/s
Crucial P3 Plus,1031.21,4000.0,0.059,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel 750,10784.27,1200.0,2.074,SSD,,PCIe,PCIe x4
Samsung 870 Evo,823.23,2000.0,0.095,SSD,2048.0,2.5,SATA 6.0 Gb/s
Silicon Power UD90,472.25,2000.0,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP44L,281.56,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A60,264.27,1000.0,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP MP44L,498.25,2000.0,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4
TEAMGROUP MP33,268.6,1000.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue SN580,537.29,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 QVO,2577.7,8000.0,0.074,SSD,,2.5,SATA 6.0 Gb/s
Crucial T700,1850.15,4000.0,0.107,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate BarraCuda,194.98,1000.0,0.045,7200,64.0,3.5,SATA 6.0 Gb/s
TEAMGROUP MP33,459.25,2000.0,0.053,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Samsung 980,389.93,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T500,602.24,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,223.58,500.0,0.103,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Gold,2599.76,24000.0,0.025,7200,512.0,3.5,SATA 6.0 Gb/s
Crucial T705,2101.46,4000.0,0.121,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Samsung 990 EVO,389.93,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 5.0 X2
Kingston KC3000,706.24,2048.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 990 Pro w/Heatsink,1397.91,4000.0,0.081,SSD,4096.0,M.2-2280,M.2 PCIe 4.0 X4
Seagate Barracuda Compute,563.25,8000.0,0.016,5400,256.0,3.5,SATA 6.0 Gb/s
Samsung 870 Evo,346.55,500.0,0.16,SSD,512.0,2.5,SATA 6.0 Gb/s
Crucial T700,658.57,1000.0,0.152,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Kingston A400,121.28,240.0,0.117,SSD,,2.5,SATA 6.0 Gb/s
Samsung 980 Pro,389.93,500.0,0.18,SSD,512.0,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,537.25,2000.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Platinum P41,714.9,2000.0,0.082,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial T500,346.55,1000.0,0.08,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M482,571.87,2000.0,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Samsung 870 Evo,1616.17,4000.0,0.093,SSD,4096.0,2.5,SATA 6.0 Gb/s
Lexar NM790,642.84,2000.0,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,303.22,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
MSI SPATIUM M371,281.6,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Blue,281.56,2000.0,0.032,7200,256.0,3.5,SATA 6.0 Gb/s
Patriot P300,95.28,256.0,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Crucial T700,1169.87,2000.0,0.135,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Corsair MP600 PRO NH,4246.3,8000.0,0.122,SSD,,M.2-2280,M.2 PCIe 4.0 X4
