name,price,type,efficiency,wattage,modular,color
Corsair RM750e (2023),433.26,ATX,gold,750,Full,Black
Corsair RM850e (2023),519.92,ATX,gold,850,Full,Black
Corsair RM1000e (2023),693.24,ATX,gold,1000,Full,Black
Corsair RM650 (2023),389.93,ATX,gold,650,Full,Black
MSI MAG A650BN,255.65,ATX,bronze,650,false,Black
MSI MAG A850GL PCIE5,389.93,ATX,gold,850,Full,Black
Corsair CX650M (2021),346.6,ATX,bronze,650,Semi,Black
MSI MAG A550BN,212.32,ATX,bronze,550,false,Black
Corsair SF750,801.56,SFX,platinum,750,Full,
Corsair RM850,541.58,ATX,gold,850,Full,White / Black
Corsair RM850x (2021),649.91,ATX,gold,850,Full,Black
Thermaltake Smart,169.25,ATX,plus,500,false,
Cooler Master MWE Gold 850 - V2,389.93,ATX,gold,850,Full,Black
Corsair RM1000x (2021),693.24,ATX,gold,1000,Full,Black
Asus ROG THOR 1600T Gaming,3033.06,ATX,titanium,1600,Full,Silver / Black
Thermaltake Smart,177.61,ATX,plus,600,false,
MSI MAG A750GL PCIE5,385.64,ATX,gold,750,Full,Black
MSI MAG A650GL,346.55,ATX,gold,650,Full,Black
Corsair SF850L,624.17,SFX,gold,850,Full,Black
SeaSonic FOCUS GX,324.93,ATX,gold,750,Full,Black
Apevia Galaxy,238.27,ATX,gold,650,Semi,Black
Corsair HX1500i (2023),1559.84,ATX,platinum,1500,Full,Black
SeaSonic FOCUS Plus 650 Gold,547.99,ATX,gold,650,Full,
Corsair RM750,476.59,ATX,gold,750,Full,White / Black
be quiet! Pure Power 12 M,389.54,ATX,gold,750,Full,Black
be quiet! Pure Power 12 M,432.87,ATX,gold,850,Full,Black
Gigabyte UD750GM,399.16,ATX,gold,750,Full,Black
Corsair RM750x (2021),433.26,ATX,gold,750,Full,Black
Corsair CX750M (2021),389.75,ATX,bronze,750,Semi,Black
Thermaltake Toughpower GF A3 Snow,519.92,ATX,gold,850,Full,White
MSI A1000G PCIE5,684.57,ATX,gold,1000,Full,Black
Corsair SF1000L,680.02,SFX,gold,1000,Full,Black
Corsair CX (2023),324.89,ATX,bronze,750,false,Black
Silverstone HELA,2696.38,ATX,,2050,Full,Black / White
Corsair CX (2023),281.56,ATX,bronze,650,false,Black
Corsair AX1600i,2642.87,ATX,titanium,1600,Full,
Apevia Prestige,225.27,ATX,gold,600,false,Black
be quiet! Dark Power 13,996.16,ATX,titanium,1000,Full,Black
EVGA 650 B5,324.93,ATX,bronze,650,Full,Black
Thermaltake Toughpower GX2,259.94,ATX,gold,600,false,Black
Corsair RMe (2023),736.57,ATX,gold,1200,Full,Black
Cooler Master V750 SFX GOLD,454.92,SFX,gold,750,Full,Black
SeaSonic FOCUS GX-1000 ATX 3.0,606.58,ATX,gold,1000,Full,Black
EVGA 500 BR,259.94,ATX,bronze,500,false,
NZXT C850 (2022),433.26,ATX,gold,850,Full,Black
Corsair CX (2023),259.94,ATX,bronze,550,false,Black
Thermaltake Toughpower GF1 (2024),411.59,ATX,gold,850,Full,Black
MSI MPG A850G PCIE5,554.1,ATX,gold,850,Full,Black
be quiet! Dark Power Pro 13,1732.77,ATX,titanium,1600,Full,Black
Thermaltake Smart,259.89,ATX,plus,700,false,
SeaSonic FOCUS PLUS 850 Gold,411.59,ATX,gold,850,Full,
Corsair HX1000i (2023),931.55,ATX,platinum,1000,Full,Black
EVGA SuperNOVA 1000 GT,606.58,ATX,gold,1000,Full,Black
Asus ROG THOR P2 Gaming,1299.86,ATX,platinum,1200,Full,Silver / Black
SeaSonic FOCUS GX-850 ATX 3.0,476.59,ATX,gold,850,Full,Black
EVGA SuperNOVA 650 GM,548.82,SFX,gold,650,Full,Black
Cooler Master MWE GOLD 750 V2 FULL MODULAR,595.05,ATX,gold,750,Full,Black
ADATA XPG CORE Reactor 850,411.59,ATX,gold,850,Full,Black
Asus ROG Strix,732.23,ATX,gold,850,Full,White
be quiet! Straight Power 12,866.17,ATX,platinum,1200,Full,Black
NZXT C750 (2022),389.93,ATX,gold,750,Full,Black
Gigabyte UD850GM,433.26,ATX,gold,850,Full,Black
SeaSonic FOCUS GX-750 ATX 3.0,389.93,ATX,gold,750,Full,Black
SeaSonic FOCUS SGX (2021),433.26,SFX,gold,750,Full,Black
be quiet! Pure Power 11,386.85,ATX,gold,400,false,Black
be quiet! Pure Power 12 M,562.86,ATX,gold,1000,Full,Black
MSI MPG A750GF,407.26,ATX,gold,750,Full,Black
Thermaltake Toughpower GF3 Snow,779.9,ATX,gold,1200,Full,White
Cooler Master V SFX Gold ATX 3.0,493.96,SFX,gold,850,Full,Black
Deepcool PM750D,381.39,ATX,gold,750,false,Black
EVGA SuperNOVA 850 GT,541.58,ATX,gold,850,Full,Black
SeaSonic PRIME TX,2578.14,ATX,titanium,1600,Full,Black / Silver
be quiet! Pure Power 12 M,346.21,ATX,gold,650,Full,Black
EVGA SuperNOVA 750 GT,495.65,ATX,gold,750,Full,Black
Lian Li SP,575.51,SFX,gold,750,Full,Black
EVGA 650BP,238.27,ATX,bronze,650,false,Black
SeaSonic FOCUS GX,559.39,ATX,gold,650,Full,Black
MSI MAG A850GL PCIE5,492.4,ATX,gold,850,Full,White
EVGA 500 W1,216.04,ATX,plus,500,false,
